step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well,liquid_type_x,liquid_type_y,liquid_type
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-P1,2,2,8,1.0,2,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,2,ivl_384_flat_v1_0001,3,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-N1,2,3,8,1.0,3,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,3,ivl_384_flat_v1_0001,5,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-P1,2,4,8,1.0,4,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,4,ivl_384_flat_v1_0001,7,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-N1,2,5,8,1.0,5,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,5,ivl_384_flat_v1_0001,9,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-P1,2,6,8,1.0,6,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,6,ivl_384_flat_v1_0001,11,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-N1,2,7,8,1.0,7,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,7,ivl_384_flat_v1_0001,1,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-P1,2,8,8,1.0,8,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,8,ivl_384_flat_v1_0001,3,pbst,,pbst
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,9,9,10.0,9,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,9,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,10,9,10.0,10,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,10,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,11,9,10.0,11,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,11,ivl_96_dw_v1_0001,1,imaging,,imaging
